symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
AXSUSD,-0.02000000,-0.333,5.74919682,5.69000000,5.98000000,0.17000000,0.00000000,0.00000000,0.00000000,0.00000000,6.00000000,6.00000000,5.60000000,124.63000000,716.52240000,1687750351659,1687836751659,405587,405601,15
AVAXUSD,-0.17000000,-1.316,12.76243774,12.84000000,12.75000000,0.08000000,0.00000000,0.00000000,0.00000000,0.00000000,12.92000000,13.26000000,12.44000000,1074.19000000,13709.28300000,1687750509588,1687836909588,4274777,4274935,159
CTSIUSD,0.00020000,0.139,0.14417267,0.14380000,0.14420000,3882.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.14400000,0.14460000,0.14380000,4501.00000000,648.92120000,1687750331315,1687836731315,208004,208035,32
DOTUSD,-0.15000000,-2.988,4.90973485,5.01000000,4.87000000,402.51000000,0.00000000,0.00000000,0.00000000,0.00000000,5.02000000,5.08000000,4.84000000,4209.37000000,20666.89060000,1687750486061,1687836886061,1417155,1417399,245
YFIUSD,-162.00000000,-2.532,6290.89892705,6247.00000000,6235.00000000,0.00128000,0.00000000,0.00000000,0.00000000,0.00000000,6397.00000000,8199.00000000,5512.00000000,7.73659000,48670.10573000,1687750417429,1687836817429,561804,561935,132
1INCHUSD,-0.00100000,-0.316,0.30918824,0.31300000,0.31500000,19.60000000,0.00000000,0.00000000,0.00000000,0.00000000,0.31600000,0.31600000,0.30300000,136.00000000,42.04960000,1687750359897,1687836759897,219964,219969,6
FTMUSD,-0.00460000,-1.536,0.30903060,0.29840000,0.29480000,324.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.29940000,0.31500000,0.29000000,63833.00000000,19726.35020000,1687750503131,1687836903131,3701353,3701514,162
NEARUSD,0.02100000,1.480,1.50838383,1.32300000,1.44000000,17.40000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41900000,1.65600000,1.30900000,13966.30000000,21066.54110000,1687750462837,1687836862837,1068847,1068930,84
LRCUSD,-0.01180000,-5.002,0.22615162,0.23550000,0.22410000,24.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.23590000,0.24100000,0.22390000,1327.00000000,300.10320000,1687750333388,1687836733388,336871,336889,19
KSHIBUSD,0.00000000,0.000,0.00000000,0.01350000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.0000,0.00000000,0.00000000,0.00000000,0.0000,0.00000000,1683339785359,1683426185359,-1,-1,0
LPTUSD,0.01000000,0.251,3.99850951,4.30000000,4.00000000,6.57000000,0.00000000,0.00000000,0.00000000,0.00000000,3.99000000,4.02000000,3.98000000,47.30000000,189.12950000,1687750411210,1687836811210,107554,107567,14
NMRUSD,-0.07000000,-0.549,12.77340650,12.74000000,12.68000000,1.32000000,0.00000000,0.00000000,0.00000000,0.00000000,12.75000000,13.09000000,12.68000000,120.27000000,1536.25760000,1687750290512,1687836690512,285368,285391,24
SLPUSD,0.00000000,0.000,0.00173000,0.00173000,0.00173000,10921.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00173000,0.00173000,0.00173000,10921.00000000,18.89333000,1687750308830,1687836708830,261523,261523,1
ANTUSD,0.00000000,0.000,3.89600000,3.89600000,3.89600000,86.80000000,0.00000000,0.00000000,0.00000000,0.00000000,3.89600000,3.89600000,3.89600000,86.80000000,338.17280000,1687750280325,1687836680325,114874,114883,10
XNOUSD,-0.03000000,-4.286,0.66860298,0.70500000,0.67000000,1427.16000000,0.00000000,0.00000000,0.00000000,0.00000000,0.70000000,0.70000000,0.62000000,11285.05000000,7545.21807000,1687750427652,1687836827652,364197,364278,82
CHZUSD,-0.00650000,-8.095,0.07765319,0.07500000,0.07380000,1535.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08030000,0.08030000,0.07370000,16903.00000000,1312.57190000,1687750355828,1687836755828,386094,386106,13
OGNUSD,0.00000000,0.000,0.00000000,0.07830000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1687750288483,1687836688483,-1,-1,0
GALAUSD,-0.00042000,-1.659,0.02514248,0.02531000,0.02489000,66.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02531000,0.02596000,0.02400000,1868988.00000000,46990.98944000,1687750498779,1687836898779,1080743,1080980,238
TLMUSD,0.00020000,1.626,0.01281848,0.01230000,0.01250000,1550.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01230000,0.01480000,0.01040000,30505.00000000,391.02770000,1687750237677,1687836637677,67511,67527,17
SNXUSD,-0.02000000,-0.951,2.07664002,2.06700000,2.08200000,17.80000000,0.00000000,0.00000000,0.00000000,0.00000000,2.10200000,2.12200000,2.00100000,4162.50000000,8644.01410000,1687750370197,1687836770197,349098,349217,120
AUDIOUSD,0.00350000,1.884,0.18628073,0.18170000,0.18930000,64.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18580000,0.19500000,0.18170000,15381.80000000,2865.33293000,1687750380340,1687836780340,395976,396047,72
REQUSD,0.00000000,0.000,0.00000000,0.08020000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1687750253885,1687836653885,-1,-1,0
APEUSD,-0.01600000,-0.701,2.36693948,2.31800000,2.26700000,11.18000000,0.00000000,0.00000000,0.00000000,0.00000000,2.28300000,2.49000000,2.19700000,26126.53000000,61839.91542000,1687750465074,1687836865074,3924538,3924749,212
FLUXUSD,0.00900000,2.032,0.44236268,0.44300000,0.45200000,4.63000000,0.00000000,0.00000000,0.00000000,0.00000000,0.44300000,0.45300000,0.42500000,677.73000000,299.80246000,1687750407084,1687836807084,231182,231198,17
